gen,best_feasible_obj,best_overall_obj,feasible_ratio,mean_infeasible_violation,lambda,alpha,elapsed_sec,gen_time_sec
0,nan,-1656.47,0,5523.32,222.554,5,3.275e-05,3.275e-05
1,nan,-1656.47,0,1795.89,320.478,5,6.3458e-05,3.0708e-05
2,nan,-5177.73,0,731.299,436.206,5,8.8292e-05,2.4834e-05
3,nan,-5639.99,0,284.293,569.738,5,0.000107958,1.9666e-05
4,nan,-5744.97,0,114.788,721.075,5,0.000126125,1.8167e-05
5,-2033.68,-7371.8,0.0166667,57.178,861.032,5,0.000144667,1.8542e-05
6,-3693.62,-7860.78,0.05,22.5742,974.656,5,0.000171958,2.7291e-05
7,-6857.53,-7863.04,0.1,5.54721,1049.54,5,0.000201958,3e-05
8,-6857.53,-7325.63,0.233333,2.75404,943.434,5,0.000238125,3.6167e-05
9,-6857.53,-7170.05,0.316667,1.24543,926.187,5,0.000279042,4.0917e-05
10,-6857.53,-7064.66,0.433333,0.622659,841.956,5,0.000316875,3.7833e-05
11,-6857.53,-6857.53,0.566667,0.322046,733.728,5,0.000352417,3.5542e-05
12,-6857.53,-6857.53,0.85,0.119069,469.995,5,0.000383917,3.15e-05
13,-6857.53,-6857.53,1,0,390.348,5,0.000412417,2.85e-05
14,-6857.53,-6857.53,1,0,434.924,5,0.000438958,2.6541e-05
15,-6857.53,-6857.53,1,0,481.911,5,0.0004665,2.7542e-05
16,-6857.53,-6857.53,1,0,531.307,5,0.000493917,2.7417e-05
17,-6857.53,-6857.53,1,0,583.112,5,0.000520708,2.6791e-05
18,-6857.53,-6857.53,1,0,637.327,5,0.000548125,2.7417e-05
19,-6857.53,-6857.53,1,0,693.951,5,0.000575083,2.6958e-05
20,-6857.53,-6857.53,1,0,752.986,5,0.000601875,2.6792e-05
21,-6857.53,-6857.53,1,0,814.429,5,0.000629042,2.7167e-05
22,-6857.53,-6857.53,1,0,878.282,5,0.000655708,2.6666e-05
23,-6857.53,-6857.53,1,0,944.545,5,0.00068175,2.6042e-05
24,-6857.53,-6857.53,1,0,1013.22,5,0.000707792,2.6042e-05
25,-6857.53,-6857.53,1,0,1084.3,5,0.000733083,2.5291e-05
26,-6857.53,-6857.53,1,0,1157.79,5,0.000759625,2.6542e-05
27,-6857.53,-6857.53,1,0,1233.69,5,0.000784958,2.5333e-05
28,-6857.64,-6857.64,1,0,1312,5,0.000810667,2.5709e-05
29,-6857.64,-6857.64,1,0,1392.72,5,0.0008365,2.5833e-05
30,-6857.65,-6857.65,1,0,1475.85,5,0.000861333,2.4833e-05
31,-6857.65,-6857.65,1,0,1561.39,5,0.000885417,2.4084e-05
32,-6857.65,-6857.65,1,0,1649.34,5,0.000909417,2.4e-05
33,-6857.66,-6857.66,1,0,1739.7,5,0.000934083,2.4666e-05
34,-6857.66,-6857.66,1,0,1832.47,5,0.000958708,2.4625e-05
35,-6857.66,-6857.66,1,0,1927.64,5,0.000983833,2.5125e-05
36,-6857.66,-6857.66,1,0,2025.23,5,0.00100917,2.5334e-05
37,-6857.66,-6857.66,1,0,2125.23,5,0.00103413,2.4958e-05
38,-6857.66,-6857.66,1,0,2227.63,5,0.00106087,2.675e-05
39,-6857.66,-6857.66,1,0,2332.45,5,0.00108758,2.6708e-05
40,-6857.66,-6857.66,1,0,2439.67,5,0.00111446,2.6875e-05
41,-6857.66,-6857.66,1,0,2549.31,5,0.00114042,2.5959e-05
42,-6857.66,-6857.66,1,0,2661.35,5,0.00116592,2.55e-05
43,-6857.66,-6857.66,1,0,2775.81,5,0.00119196,2.6041e-05
44,-6857.66,-6857.66,1,0,2892.67,5,0.00121708,2.5125e-05
45,-6857.66,-6857.66,1,0,3011.94,5,0.00124313,2.6042e-05
46,-6857.66,-6857.66,1,0,3133.62,5,0.00126892,2.5792e-05
47,-6857.66,-6857.66,1,0,3257.72,5,0.00129483,2.5916e-05
48,-6857.66,-6857.66,1,0,3384.22,5,0.00132146,2.6625e-05
49,-6857.66,-6857.66,1,0,3513.13,5,0.00134808,2.6625e-05
50,-6857.66,-6857.66,1,0,3644.45,5,0.00137508,2.7e-05
51,-6857.75,-6857.75,1,0,3778.18,5,0.0014005,2.5417e-05
52,-6857.75,-6857.75,1,0,3914.32,5,0.00142692,2.6417e-05
53,-6857.75,-6857.75,1,0,4052.87,5,0.00145342,2.65e-05
54,-6857.75,-6857.75,1,0,4193.83,5,0.00147988,2.6458e-05
55,-6857.75,-6857.75,1,0,4337.2,5,0.001507,2.7125e-05
56,-6857.75,-6857.75,1,0,4482.97,5,0.00153392,2.6917e-05
57,-6857.75,-6857.75,1,0,4631.16,5,0.00156108,2.7166e-05
58,-6857.75,-6857.75,1,0,4781.76,5,0.00158842,2.7334e-05
59,-6857.75,-6857.75,1,0,4934.77,5,0.0016155,2.7083e-05
60,-6857.75,-6857.75,1,0,5090.18,5,0.00164279,2.7292e-05
