gen,best_feasible_obj,best_overall_obj,feasible_ratio,mean_infeasible_violation,lambda,alpha,elapsed_sec,gen_time_sec
0,nan,-1656.47,0,5523.32,100,5,2.7958e-05,2.7958e-05
1,nan,-1656.47,0,1795.89,100,5,5.7542e-05,2.9584e-05
2,nan,-5177.73,0,731.299,100,5,7.9208e-05,2.1666e-05
3,nan,-5639.99,0,284.293,100,5,9.7792e-05,1.8584e-05
4,nan,-5744.97,0,114.788,100,5,0.000114292,1.65e-05
5,-2033.68,-7371.8,0.0166667,57.178,100,5,0.000131167,1.6875e-05
6,-3693.62,-7860.78,0.05,22.5742,100,5,0.000149,1.7833e-05
7,-6857.53,-7863.04,0.1,5.54721,100,5,0.000166083,1.7083e-05
8,-6857.53,-7325.63,0.233333,2.75404,100,5,0.000183667,1.7584e-05
9,-6857.53,-7170.05,0.316667,1.24543,100,5,0.000202542,1.8875e-05
10,-6857.53,-7064.66,0.433333,0.622659,100,5,0.000221708,1.9166e-05
11,-6857.53,-6857.53,0.566667,0.322046,100,5,0.000240625,1.8917e-05
12,-6857.53,-6857.53,0.85,0.119069,100,5,0.000259792,1.9167e-05
13,-6857.53,-6857.53,1,0,100,5,0.000279542,1.975e-05
14,-6857.53,-6857.53,1,0,100,5,0.000299125,1.9583e-05
15,-6857.53,-6857.53,1,0,100,5,0.000318833,1.9708e-05
16,-6857.53,-6857.53,1,0,100,5,0.000338917,2.0084e-05
17,-6857.53,-6857.53,1,0,100,5,0.0003575,1.8583e-05
18,-6857.53,-6857.53,1,0,100,5,0.000376167,1.8667e-05
19,-6857.53,-6857.53,1,0,100,5,0.000394583,1.8416e-05
20,-6857.53,-6857.53,1,0,100,5,0.000413208,1.8625e-05
21,-6857.53,-6857.53,1,0,100,5,0.000432333,1.9125e-05
22,-6857.53,-6857.53,1,0,100,5,0.000450583,1.825e-05
23,-6857.53,-6857.53,1,0,100,5,0.000468417,1.7834e-05
24,-6857.53,-6857.53,1,0,100,5,0.00048675,1.8333e-05
25,-6857.53,-6857.53,1,0,100,5,0.000504875,1.8125e-05
26,-6857.53,-6857.53,1,0,100,5,0.000522833,1.7958e-05
27,-6857.53,-6857.53,1,0,100,5,0.000539958,1.7125e-05
28,-6857.64,-6857.64,1,0,100,5,0.000557875,1.7917e-05
29,-6857.64,-6857.64,1,0,100,5,0.000575708,1.7833e-05
30,-6857.65,-6857.65,1,0,100,5,0.000592958,1.725e-05
31,-6857.65,-6857.65,1,0,100,5,0.000609708,1.675e-05
32,-6857.65,-6857.65,1,0,100,5,0.000626542,1.6834e-05
33,-6857.66,-6857.66,1,0,100,5,0.000643583,1.7041e-05
34,-6857.66,-6857.66,1,0,100,5,0.000660917,1.7334e-05
35,-6857.66,-6857.66,1,0,100,5,0.000678875,1.7958e-05
